GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fog,presentation,ControlDeleteOffer,49,0,0,0,17,0,5,0,5,0
Fog,presentation,ControlEditData,88,0,0,0,24,0,5,0,5,0
Fog,presentation,ControlEditOffer,70,0,0,0,21,0,5,0,5,0
Fog,presentation,ControlEditItem,68,0,0,0,21,0,5,0,5,0
Fog,presentation,ControlLogin,104,0,2,0,31,0,6,0,5,0
Fog,presentation,ControlInsertUserData,157,0,0,0,42,0,5,0,5,0
Fog,presentation,ControlInsertItem,68,0,0,0,21,0,5,0,5,0
Fog,presentation,ControlDeleteOrder,49,0,0,0,17,0,5,0,5,0
Fog,presentation,ControlEditOrder,54,0,0,0,18,0,5,0,5,0
Fog,presentation,ControlInsertOffer,67,0,0,0,21,0,5,0,5,0
Fog,domain.entity,OrderDetail,35,0,0,0,14,0,7,0,7,0
Fog,domain.entity,Item,49,0,0,0,20,0,10,0,10,0
Fog,domain.entity,getOrder,189,0,0,0,76,0,38,0,38,0
Fog,domain.entity,OrderData,69,0,0,0,28,0,14,0,14,0
Fog,domain.entity,Offer,84,0,0,0,23,0,12,0,12,0
Fog,domain.entity,getRegion,110,0,0,0,29,0,15,0,15,0
Fog,domain.entity,User,159,0,0,0,43,0,22,0,22,0
Fog,domain.entity,Order,103,0,0,0,25,0,13,0,13,0
Fog,domain.business,Calc,105,0,2,0,24,0,9,0,8,0
Fog,domain.business,ControlOrderDetail,248,0,2,0,52,0,6,0,5,0
Fog,domain.business,DOFacade,234,0,0,0,54,0,37,0,37,0
Fog,data,DB,43,0,0,0,19,0,4,0,4,0
Fog,data,UserMapper,467,0,8,0,121,0,11,0,7,0
Fog,data,RegionMapper,462,0,10,0,124,0,12,0,7,0
Fog,data,DBFacade,234,0,0,0,54,0,37,0,37,0
Fog,data,OrderMapper,1253,0,20,0,332,0,28,0,18,0
Fog,data,OfferMapper,337,0,4,0,104,0,9,0,7,0
Fog,data,ItemMapper,384,0,6,0,109,0,10,0,7,0
Fog,domain.exception,RegionException,7,0,0,0,4,0,2,0,2,0
Fog,domain.exception,UserException,7,0,0,0,4,0,2,0,2,0
Fog,domain.exception,OfferException,7,0,0,0,4,0,2,0,2,0
Fog,domain.exception,OrderException,7,0,0,0,4,0,2,0,2,0
Fog,domain.exception,ItemException,7,0,0,0,4,0,2,0,2,0
